ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.5,172,1462,7,349,652,10,56,4,0
7.8,180,1751,7,352,370,14,80,2,0
9.7,205,850,4,386,392,12,53,3,0
8.0,151,886,11,333,447,12,66,5,0
7.1,170,1756,8,349,374,10,73,3,0
7.1,204,3379,6,333,426,13,69,3,0
7.4,189,2912,8,321,458,17,56,4,0
5.5,204,2949,7,323,476,16,83,5,0
6.1,230,4486,6,333,397,14,76,3,0
7.1,222,2387,5,333,382,15,66,4,0
6.3,185,2476,6,318,534,13,69,4,0
7.1,190,2066,10,299,471,9,60,4,0
6.3,196,2921,8,334,574,11,66,5,0
9.0,181,827,6,333,372,9,65,4,0
8.5,201,2420,7,333,436,15,63,5,0
7.1,183,1999,7,337,294,10,66,4,0
7.1,193,3063,6,342,430,17,49,2,0
4.0,203,4232,8,279,503,13,46,4,0
6.4,204,3233,5,345,389,11,91,5,0
6.3,184,2865,6,335,470,11,66,4,0
7.6,188,2251,8,333,393,12,73,4,0
5.5,204,3999,7,319,431,15,41,3,0
7.1,216,1787,6,338,438,15,83,2,0
7.5,240,3670,4,339,453,16,67,3,0
7.1,179,2105,8,296,418,18,92,3,0
7.9,214,2382,7,341,411,19,25,4,0
7.1,191,1083,6,333,492,17,43,4,0
7.1,181,1457,5,333,308,9,60,4,0
5.4,201,3115,7,304,451,10,87,3,0
8.3,202,2129,5,333,428,15,81,4,0
6.7,195,1996,7,354,411,17,67,2,0
6.1,211,3935,6,333,488,11,46,4,0
6.6,156,1277,9,341,418,10,78,3,0
4.7,220,3874,4,306,442,10,66,4,0
8.2,219,1369,3,333,460,14,79,3,0
7.1,226,1358,4,374,335,9,82,2,0
7.1,220,2731,4,329,463,13,66,5,0
5.7,194,2008,6,333,403,18,66,3,0
6.6,185,1636,9,320,458,12,40,3,0
8.3,188,1112,7,346,344,15,89,3,0
7.1,241,2571,4,369,474,15,48,4,0
7.1,221,1195,6,333,391,12,66,3,0
10.5,213,1678,6,333,411,16,67,3,0
5.2,207,4461,7,300,552,12,52,2,0
7.0,193,2740,10,307,302,15,78,2,0
6.5,205,1358,3,333,327,15,51,4,0
6.6,195,1540,2,333,436,10,66,3,0
9.0,221,1414,5,366,377,13,87,4,0
6.0,202,1995,7,311,412,18,73,5,0
6.3,191,1513,5,349,538,12,52,4,0
6.6,212,2356,6,325,430,14,33,4,0
7.1,153,1155,8,329,278,11,81,3,0
8.1,208,2398,7,346,436,9,67,2,0
7.7,209,2299,5,343,417,7,63,2,0
5.6,154,2050,9,313,355,18,75,4,0
7.5,192,2422,7,336,369,18,70,3,1
7.1,218,1172,7,296,452,14,51,3,1
7.3,210,1281,8,309,412,12,73,3,1
10.0,210,906,7,363,324,10,92,3,1
7.1,188,1903,6,333,388,15,78,2,1
7.8,233,667,6,333,545,16,67,3,1
7.1,155,5206,2,365,323,14,48,2,1
6.3,197,2346,6,303,399,18,62,4,1
9.6,221,1253,9,333,441,13,66,2,1
7.1,186,2949,8,378,616,14,65,2,1
8.9,224,2296,8,274,466,9,59,3,1
7.1,195,1456,9,333,289,9,49,3,1
8.1,211,1549,9,333,363,15,54,4,1
8.2,203,1692,5,337,527,18,60,3,1
4.9,164,3115,7,383,506,14,69,5,1
9.0,198,2022,7,352,492,19,64,3,1
7.4,220,1760,9,274,551,14,67,3,1
9.1,202,2467,5,334,467,12,46,4,1
4.2,164,2386,8,333,547,13,71,2,1
7.8,216,2129,6,333,524,13,83,5,1
6.7,230,972,5,223,405,12,74,3,1
3.6,156,2673,5,388,388,17,63,5,1
8.0,186,2144,7,393,461,13,86,5,1
4.6,204,1389,6,333,631,11,70,3,1
7.1,204,1287,5,324,402,16,64,4,1
4.0,179,1868,6,331,538,13,66,3,1
8.9,202,3365,5,330,426,18,79,4,1
5.9,198,2114,9,326,312,13,74,4,1
9.5,215,1655,7,321,453,9,57,2,1
8.8,229,783,10,278,370,15,77,4,1
7.7,208,1724,7,286,269,11,56,3,1
9.1,208,3223,6,321,449,12,89,4,1
1.8,147,4153,7,376,428,10,65,2,1
7.7,213,2046,5,333,338,17,58,4,1
6.7,178,3199,5,333,341,14,64,5,1
5.1,173,3345,6,351,507,17,62,3,1
9.5,212,2518,6,316,498,20,52,4,1
7.1,182,2004,8,330,328,12,79,3,1
6.2,163,2640,6,429,509,23,19,5,1
7.4,168,3719,4,333,439,15,63,5,1
7.8,232,1438,7,333,413,15,42,4,1
8.6,202,1517,7,373,315,15,76,3,1
6.4,192,1957,7,314,379,12,75,3,1
7.3,233,1606,8,224,401,15,81,4,1
6.1,210,1998,9,271,332,17,79,3,1
4.7,175,3426,5,324,441,12,66,3,1
5.4,172,2809,5,372,505,17,67,4,1
5.6,215,902,9,274,340,10,72,4,1
5.8,184,3115,8,356,380,10,100,3,1
7.1,195,1774,7,333,512,15,54,2,1
5.3,167,3476,4,377,315,10,70,4,1
7.7,209,2956,9,294,355,13,71,3,1
3.7,144,2672,6,333,564,13,92,3,1
4.9,169,1467,8,333,437,16,81,3,1
5.8,202,1396,6,290,475,18,77,4,1
7.1,193,1447,5,322,431,12,92,4,1
5.0,170,2586,7,333,350,13,65,3,1
10.0,220,1193,8,337,398,14,60,3,1
7.4,198,2438,4,289,366,18,87,3,1
7.1,160,3779,9,390,441,16,21,4,1
5.1,189,2180,4,333,334,14,49,5,1
3.6,179,2858,5,292,500,8,77,3,1
8.9,193,2408,6,333,526,9,81,4,1
10.1,242,1508,8,333,596,14,62,3,1
9.9,199,1623,8,380,345,20,73,2,1
10.3,218,1375,7,334,341,15,84,4,1
0.2,152,3902,3,283,443,13,62,3,1
6.0,206,1515,7,307,431,14,53,4,1
7.1,213,2504,6,245,505,16,91,5,1
6.4,190,1490,5,333,446,13,67,4,1
8.1,211,2298,6,326,367,13,55,4,1
10.3,218,1815,8,349,336,19,82,4,1
5.5,187,1164,8,333,534,8,74,4,1
9.2,212,1482,7,324,575,16,66,3,1
7.1,213,2003,7,290,605,8,58,4,1
7.1,193,1846,4,319,369,14,54,3,1
8.2,199,2504,9,350,328,18,54,3,1
6.4,204,1110,7,333,418,16,66,4,1
6.2,202,1222,11,324,344,14,47,4,1
6.8,196,1379,9,333,347,17,68,3,1
7.1,211,1130,8,299,353,16,67,3,1
4.6,182,3426,6,307,439,7,66,4,1
7.7,205,747,7,333,395,7,76,3,1
8.1,178,3378,9,333,481,12,95,2,1
7.5,186,1378,4,377,323,11,66,4,1
8.1,185,2840,7,381,402,12,86,3,1
7.1,210,2798,5,333,436,16,64,4,1
7.7,192,1812,9,364,646,14,90,4,1
6.8,207,2364,7,293,446,6,30,2,1
7.1,219,2238,7,316,327,12,80,4,1
6.3,185,2323,5,347,401,13,60,3,1
5.4,199,1157,6,333,377,11,74,3,1
5.7,159,3197,5,333,501,8,55,2,1
7.7,184,2267,5,333,439,8,64,5,1
8.6,186,2059,3,366,384,9,66,3,1
9.9,220,1989,7,326,460,14,59,3,1
3.4,154,2183,4,333,437,14,56,5,1
8.4,231,1506,12,333,422,15,67,3,1
7.1,204,1328,9,332,365,8,76,4,1
8.4,215,2703,6,282,443,12,46,4,1
7.6,193,2167,9,381,414,16,92,4,1
9.9,208,3528,8,337,462,10,50,4,1
5.2,185,1627,6,333,394,7,89,3,1
9.7,233,1321,10,293,326,10,62,4,1
7.1,158,2621,4,333,354,16,85,5,1
7.9,207,1965,8,312,358,21,63,3,1
8.9,197,2788,8,333,317,21,73,4,1
6.9,207,1668,10,286,481,9,78,3,1
10.5,200,1386,7,409,340,17,72,3,1
5.7,162,3457,5,415,297,13,76,3,1
5.3,178,3799,9,343,465,14,65,3,1
7.1,177,3897,5,402,484,12,61,3,1
6.8,177,3459,2,369,389,17,64,3,1
6.8,195,1590,6,319,404,18,75,3,1
7.1,231,1285,6,344,392,13,80,3,1
7.1,205,2706,7,304,409,18,61,4,1
7.1,155,2822,8,392,421,18,52,4,1
8.6,233,726,6,268,258,8,41,4,1
8.5,182,3641,6,333,414,14,56,3,1
7.6,199,2538,7,318,416,20,48,4,1
8.1,203,2417,6,305,470,19,30,5,1
5.4,150,2779,5,445,422,16,78,4,1
8.0,241,960,9,229,428,14,39,2,1
11.9,228,829,9,346,500,15,63,3,1
7.4,180,1822,8,405,564,14,57,2,1
5.1,209,2140,4,230,378,2,86,4,1
7.1,242,978,6,211,351,10,69,4,1
6.9,219,1033,10,333,453,14,61,3,1
9.6,182,3030,5,422,573,17,45,3,1
5.4,171,2470,4,366,490,15,33,1,1
4.9,186,1365,9,333,460,12,89,3,1
6.4,182,3304,5,362,350,7,66,5,1
3.9,163,2591,4,371,487,17,63,3,1
6.9,210,2926,6,252,392,12,77,4,1
9.1,226,678,9,319,459,14,80,3,1
10.3,225,1469,6,300,353,13,64,5,1
8.8,232,703,9,333,415,12,66,3,1
7.4,213,1845,8,294,496,10,94,3,1
9.4,207,2355,6,346,420,10,66,3,1
9.4,215,2059,10,331,447,10,54,4,1
7.3,197,2253,9,323,353,6,82,4,1
8.9,211,959,8,348,333,18,68,4,1
8.1,228,1836,6,246,369,14,101,4,1
7.8,216,1416,6,281,468,15,62,4,1
4.7,171,3568,4,314,501,14,56,4,1
10.9,207,1609,8,369,575,17,80,3,1
4.7,162,2721,2,372,437,15,65,2,1
9.9,223,2954,7,281,356,14,84,4,1
7.1,182,1957,10,424,383,19,76,4,1
5.8,191,2586,4,316,370,18,48,3,1
1.0,133,1692,9,444,322,10,43,5,1
7.1,235,1044,7,333,319,8,80,3,1
9.5,218,1535,8,315,429,15,64,3,1
6.4,214,936,9,273,508,12,71,4,1
6.4,205,704,11,325,371,16,74,5,1
7.1,202,2382,5,409,414,13,59,5,1
5.5,199,1444,7,298,469,14,95,5,1
7.1,215,2185,7,283,364,11,76,5,1
5.4,177,3142,4,347,490,16,58,2,1
7.4,217,1228,10,333,358,16,93,3,1
7.1,175,2595,6,346,379,13,50,2,0
5.2,177,2839,6,336,328,18,62,2,0
4.6,185,2798,6,354,380,13,74,4,0
6.8,212,1282,7,333,328,10,89,5,0
6.4,172,1593,4,340,435,11,58,4,0
6.8,166,2850,7,333,460,11,73,2,0
6.9,164,2044,5,341,468,10,65,4,0
7.1,191,2246,8,333,349,17,76,5,0
7.9,228,1582,8,314,423,17,56,3,0
5.5,218,2209,6,333,412,12,44,4,0
6.5,234,1860,8,302,442,14,65,4,0
6.7,193,3415,9,344,498,8,66,4,0
7.1,196,2410,7,352,428,10,73,5,0
6.2,238,2242,9,333,474,14,80,3,0
4.8,203,2360,7,324,288,18,85,4,0
7.4,183,1725,4,335,452,9,80,2,0
8.1,200,1264,7,334,446,14,71,3,0
7.1,215,2499,9,321,431,12,64,4,0
7.1,214,1266,7,302,319,15,92,5,0
7.6,222,2506,8,287,505,18,68,2,0
4.7,200,3218,8,364,516,12,85,2,0
8.1,209,871,8,355,338,18,106,3,0
4.3,212,3043,8,333,382,15,39,2,0
7.9,184,1614,7,333,505,11,88,3,0
9.1,238,900,9,325,381,19,98,2,0
6.6,242,938,7,312,440,14,70,3,0
7.0,168,2937,5,333,521,21,58,3,0
9.0,195,2372,7,348,551,15,75,4,0
8.6,205,1668,8,333,347,18,68,2,0
6.7,156,3095,6,363,425,11,70,5,0
7.1,209,2082,6,313,567,17,40,4,0
6.5,213,3431,9,335,313,11,70,3,0
6.8,191,1822,3,296,389,9,92,5,0
5.0,142,4082,7,333,386,16,52,4,0
8.3,198,1746,8,369,294,18,44,5,0
5.5,152,3762,5,333,343,14,41,4,0
7.9,224,2001,9,302,421,22,72,4,0
5.0,194,2731,6,333,313,10,85,5,0
6.5,252,3277,8,333,330,9,80,3,0
7.1,203,2818,7,344,445,19,53,4,0
8.8,218,1618,7,334,389,16,47,4,0
7.1,184,2849,6,330,381,11,62,3,0
8.2,215,1706,8,319,459,14,60,2,0
7.7,230,732,7,331,492,14,74,4,0
7.8,173,1554,5,330,520,11,87,3,0
7.2,204,1849,5,311,437,12,31,4,0
7.0,169,1947,5,366,425,17,48,4,0
4.7,221,2421,9,307,406,12,60,4,0
7.1,219,984,8,309,396,12,71,3,0
4.1,200,2577,8,333,414,11,66,4,0
8.4,213,1767,8,333,471,19,70,3,0
10.7,220,1057,6,295,414,14,58,4,0
6.8,175,2146,7,349,427,12,55,2,0
10.0,232,377,9,333,339,18,82,4,0
7.1,218,983,7,328,386,15,57,3,0
4.5,188,1490,8,374,518,11,65,3,0
8.0,175,2175,7,352,428,4,72,3,0
5.1,174,3409,6,376,526,17,48,4,0
6.5,214,1484,7,304,304,12,66,3,0
6.7,208,2905,7,302,361,10,53,4,0
5.8,179,2770,6,333,536,12,90,4,0
6.6,207,2337,6,313,497,12,75,4,0
8.5,200,1058,6,307,585,11,63,2,0
6.0,186,3224,8,347,416,14,68,4,0
5.4,185,2750,8,333,587,10,63,3,0
5.6,162,2393,7,333,535,19,54,3,0
10.6,198,1295,7,322,522,16,71,3,0
4.9,162,2282,4,360,541,11,66,3,0
7.2,200,1350,7,358,617,11,71,3,0
5.9,167,2595,6,350,471,15,53,4,0
7.4,175,1534,6,371,579,11,78,4,0
7.8,220,2833,9,316,462,15,57,5,0
4.7,186,3315,8,370,296,14,48,3,0
9.1,196,2022,5,298,342,12,84,5,0
5.5,176,2642,8,366,500,7,59,3,0
4.5,199,3686,9,338,390,8,75,2,0
7.0,185,3098,8,327,326,9,52,5,0
10.2,182,801,5,337,291,13,50,5,0
6.8,140,1756,4,333,374,10,97,4,0
8.1,166,1813,6,333,600,16,55,4,0
7.1,191,1401,6,345,423,11,65,4,0
7.3,182,568,6,373,360,20,73,3,0
5.9,200,3330,7,333,399,13,63,3,0
8.3,196,1909,7,342,388,14,73,5,0
5.9,160,1689,6,367,451,16,62,4,0
7.1,192,3416,8,363,474,15,50,2,0
7.1,215,3597,10,330,558,14,81,2,0
5.3,220,3953,9,322,393,10,58,3,0
10.3,198,810,5,332,568,15,28,4,0
7.0,167,1801,5,362,471,10,45,4,0
6.9,197,1955,8,355,379,18,65,4,0
7.1,214,898,7,333,498,9,37,5,0
8.3,195,1809,7,365,369,16,66,2,0
8.2,198,1145,5,309,401,13,81,2,0
5.8,190,2028,6,347,544,17,84,4,0
6.2,237,2205,8,306,485,17,58,4,0
7.3,196,2205,5,305,451,14,71,4,0
7.6,177,1491,6,349,355,17,42,3,0
6.8,189,1273,5,333,480,20,76,4,0
5.6,211,3242,6,333,446,20,52,4,0
7.1,223,3629,9,333,373,16,64,3,0
4.9,197,3849,9,383,357,13,61,2,0
5.7,185,2736,7,333,359,15,56,3,0
7.1,215,2533,5,266,429,11,71,3,0
10.7,168,706,4,333,327,16,46,4,0
7.6,199,1134,6,304,210,17,62,3,0
8.8,188,1773,6,317,419,17,60,2,0
6.8,203,2632,8,341,381,19,58,3,0
7.1,148,1359,5,374,357,13,72,3,0
7.1,202,1251,7,333,399,12,66,4,0
5.1,159,3912,6,375,400,20,68,2,0
7.0,159,2189,4,337,482,10,78,3,0
9.0,204,1515,8,333,416,14,68,2,0
9.5,204,1725,6,310,395,17,44,3,0
4.7,195,3521,7,335,539,9,64,3,0
10.4,200,1798,5,338,336,14,62,4,0
5.7,183,3563,6,327,354,12,70,3,0
7.1,192,1112,4,324,332,15,79,4,0
7.1,248,2525,8,296,482,14,69,3,0
10.8,209,1184,10,349,393,15,66,4,0
9.0,228,1676,7,320,456,12,77,3,0
7.1,212,569,6,333,269,18,89,2,0
6.8,204,2055,9,387,389,12,49,3,0
8.9,200,1524,6,313,521,13,69,3,0
4.3,149,2049,3,302,427,16,68,3,0
6.7,229,2311,9,321,521,13,68,4,0
5.9,186,4437,6,341,273,12,59,4,0
6.8,193,1367,5,323,477,15,66,3,0
7.4,219,2557,8,333,553,17,60,4,0
6.5,176,3059,4,324,524,16,84,3,0
6.9,190,2578,6,331,481,14,70,3,0
9.3,236,523,8,333,367,12,18,3,0
7.4,220,1577,9,319,463,16,80,3,0
6.6,163,1797,6,333,383,18,44,3,0
6.2,211,3543,6,314,552,8,56,4,0
9.1,203,2271,5,321,496,18,76,4,0
4.7,209,2007,6,301,354,14,89,3,0
10.6,213,1129,7,300,497,17,83,2,0
7.6,227,867,7,333,433,11,54,3,0
6.1,158,2012,6,352,373,13,80,4,0
5.3,186,4206,6,319,312,18,71,3,0
6.8,189,1966,8,375,420,14,61,3,0
7.2,211,1391,8,345,494,15,32,4,0
6.6,190,1536,6,356,353,14,66,3,0
8.4,210,2766,6,291,555,12,67,2,0
8.0,202,2044,5,333,477,12,43,4,0
7.4,185,1415,5,324,336,15,49,3,0
6.1,224,2584,9,333,385,13,85,4,0
7.9,204,561,5,343,432,14,55,4,0
5.2,189,3508,6,340,331,12,61,4,0
7.1,197,1743,6,333,406,16,68,3,0
6.4,230,2303,10,316,452,13,66,2,0
7.4,207,2991,7,333,392,13,79,4,0
4.4,240,2407,9,338,533,11,69,5,0
8.2,175,991,4,324,302,11,71,3,0
4.9,214,2827,9,337,375,15,61,3,0
6.9,194,2361,8,346,439,14,89,4,0
6.7,190,1624,6,324,383,7,86,1,0
7.6,207,1348,6,328,452,14,88,3,0
8.2,183,2033,6,333,475,18,49,3,0
8.9,193,1685,5,318,355,19,58,4,0
8.8,215,1396,7,322,369,18,54,3,0
4.7,215,3068,8,333,313,11,62,3,0
7.8,196,2406,6,350,471,15,44,3,0
7.1,238,2649,8,311,369,11,91,3,0
6.1,214,1162,7,333,344,13,98,3,0
7.7,200,1169,6,349,420,18,52,3,0
4.8,200,4800,9,340,310,18,63,3,0
7.1,190,2691,4,302,509,16,64,3,0
5.4,198,1990,7,348,419,14,80,2,0
5.5,165,2904,5,370,488,17,80,6,0
6.4,193,2295,6,333,432,16,64,4,0
7.1,226,3994,8,333,538,13,66,4,0
8.3,231,1353,7,313,527,18,58,4,0
6.6,194,2091,6,333,383,9,41,4,0
8.3,203,872,7,333,543,15,81,2,0
6.8,166,2429,6,332,390,16,87,3,0
6.4,231,2675,8,333,422,16,73,4,0
6.5,205,1939,7,368,479,15,56,2,0
7.1,236,2487,9,300,479,13,46,5,0
6.6,181,3073,5,343,257,17,35,4,0
7.1,210,2117,7,333,572,15,90,4,0
9.3,212,1575,5,296,399,10,74,3,0
4.6,186,3389,6,316,406,19,62,4,0
7.9,229,2173,7,315,368,11,49,4,0
6.2,238,2482,7,269,482,22,79,4,0
7.2,177,1786,5,343,367,19,59,5,0
7.1,235,390,6,286,553,19,84,4,0
8.7,184,1328,6,348,560,13,71,2,0
7.1,194,3298,9,333,286,10,71,3,0
4.8,190,2128,6,326,357,11,63,4,0
9.3,199,1429,7,366,338,15,63,4,0
7.6,180,1198,4,328,617,13,39,4,0
5.3,232,1179,7,312,371,11,65,3,0
5.5,179,2016,5,305,510,12,58,4,0
7.1,206,4071,8,320,468,14,71,5,0
8.3,221,1612,9,348,501,22,75,2,0
8.6,216,2890,6,295,510,16,79,4,0
6.0,218,2157,9,321,444,14,62,3,0
5.7,173,2839,7,355,336,16,65,3,0
5.2,164,2700,6,333,422,14,73,4,0
7.1,240,2595,10,333,446,13,80,3,0
7.5,207,1051,8,333,442,18,43,2,0
11.0,228,1312,7,319,376,8,48,4,0
6.7,242,1797,9,322,440,13,62,4,0
4.2,174,4148,5,333,425,12,86,3,0
7.2,171,2895,5,357,530,18,79,3,0
7.1,235,1392,8,333,446,14,51,3,0
6.2,169,2261,4,327,549,17,51,3,0
7.1,178,1049,7,354,367,14,57,4,0
9.6,231,454,6,300,328,11,78,3,0
5.4,153,5686,7,333,493,15,57,4,0
8.7,166,2775,5,372,393,13,75,4,0
7.7,198,1893,7,316,368,9,65,3,0
7.1,216,2006,9,349,331,17,84,4,0
8.3,212,4093,7,301,365,12,70,4,0
5.5,157,2622,6,379,475,16,51,4,0
10.2,190,891,4,306,331,18,68,3,0
5.4,190,3261,8,351,435,11,107,2,0
8.9,147,1056,3,371,480,16,61,2,0
8.1,207,2648,8,318,431,10,63,4,0
7.2,201,2523,5,283,384,12,23,3,0
5.5,230,1390,9,352,442,14,66,5,0
7.1,256,890,9,293,324,16,72,3,0
5.3,204,2239,8,315,399,13,83,2,0
6.4,235,3445,9,295,357,9,59,2,0
6.7,197,2743,6,303,397,19,54,3,0
6.9,210,1429,7,316,570,15,70,4,0
8.0,225,2037,7,308,382,12,78,4,0
8.3,204,2419,8,332,500,15,71,5,0
8.7,148,2217,5,369,407,15,72,4,0
8.2,202,2562,7,367,597,11,72,3,0
9.0,222,2282,7,293,558,15,44,4,0
8.9,207,1329,8,357,468,15,107,4,0
6.0,182,2392,6,364,567,7,58,4,0
7.1,205,2011,7,317,558,23,68,3,0
8.2,166,1794,4,331,363,12,56,4,0
7.6,238,1813,11,351,514,8,55,3,0
7.8,193,1570,7,324,301,13,89,3,0
7.6,196,2708,7,345,329,8,60,2,0
6.7,218,1647,7,299,412,17,41,4,0
7.1,182,3064,6,294,404,14,106,3,0
8.8,208,2678,7,329,430,7,88,2,0
7.8,173,1373,6,359,355,11,39,3,0
6.2,169,2953,5,333,380,17,75,2,0
7.1,223,1589,8,303,360,15,48,4,0
8.6,160,2368,4,360,490,9,67,2,0
7.0,216,2302,9,382,369,18,59,4,0
3.3,156,5533,8,371,485,16,69,2,0
7.1,198,2006,9,344,412,9,43,4,0
7.1,192,2176,7,331,397,18,45,4,1
7.8,216,2231,7,385,288,14,68,3,1
7.1,172,2889,4,244,559,21,51,2,1
7.2,168,2282,6,271,437,16,64,6,1
6.2,240,634,9,421,354,12,83,3,1
7.1,225,966,8,397,315,16,17,3,1
6.8,203,2116,5,251,334,13,79,3,1
8.0,148,4841,4,268,392,12,66,2,1
8.2,210,1862,7,333,455,14,85,3,1
6.7,204,2021,6,304,544,12,72,4,1
7.6,214,1145,10,398,321,12,58,3,1
8.5,177,2334,7,352,413,12,108,3,1
5.4,231,1497,9,409,448,10,65,3,1
7.7,194,2733,7,322,347,10,63,3,1
8.2,168,2136,6,333,419,12,59,2,1
7.1,190,2309,6,298,414,13,50,2,1
7.8,193,1376,9,343,510,13,99,3,1
7.2,197,2702,6,359,448,12,49,2,1
5.7,240,799,8,333,477,15,68,3,1
6.7,199,1743,6,333,454,14,81,3,1
4.8,231,1397,9,389,526,17,73,3,1
7.1,200,1994,7,337,295,14,29,4,1
7.1,205,1753,8,396,318,13,93,2,1
8.5,193,2128,7,333,393,13,61,5,1
7.7,218,2282,8,363,521,15,73,3,1
4.2,208,2180,5,327,264,11,46,4,1
7.1,142,4514,6,240,369,20,70,4,1
7.8,179,1703,6,348,590,12,81,4,1
5.9,187,3711,4,253,531,11,77,3,1
7.3,155,3116,3,244,506,17,73,3,1
7.1,213,1203,9,349,284,12,74,3,1
9.5,167,4003,8,333,354,14,102,4,1
7.5,183,1473,7,335,482,8,82,4,1
8.0,230,1707,9,333,522,14,68,4,1
7.7,212,2167,8,361,457,21,43,3,1
8.3,163,2201,5,307,351,20,78,4,1
6.9,163,4458,2,219,554,16,67,5,1
6.8,239,798,10,419,373,18,43,3,1
8.2,144,3618,4,297,605,20,66,3,1
7.1,214,1969,5,326,385,15,77,3,1
4.7,203,2869,5,323,508,14,65,4,1
6.0,226,1193,9,333,350,13,70,3,1
6.6,198,2238,7,369,408,6,105,3,1
8.8,157,2211,7,304,480,15,82,4,1
6.9,167,4058,3,265,300,16,72,3,1
8.8,185,3104,8,333,408,18,72,3,1
7.1,213,2168,6,333,383,11,57,3,1
7.1,178,3438,6,311,570,17,68,4,1
8.1,191,1710,7,333,432,13,54,4,1
5.1,185,1812,4,275,528,11,80,3,1
7.4,203,2548,8,413,405,13,74,2,1
9.4,158,2047,5,285,476,14,73,4,1
5.9,223,1346,9,378,337,13,42,2,1
5.8,193,1945,4,255,365,14,8,2,1
7.6,182,3374,6,369,327,14,82,3,1
9.0,148,3502,5,333,387,11,49,3,1
5.4,205,1854,5,306,382,10,67,2,1
9.8,155,2333,7,333,356,10,75,4,1
5.2,232,1781,7,333,404,12,55,3,1
4.9,224,1696,7,323,354,15,79,3,1
7.8,164,2550,7,358,398,15,66,4,1
7.1,259,280,10,392,354,13,63,4,1
7.1,187,2660,8,405,462,18,41,3,1
7.9,180,3216,7,360,344,11,60,3,1
7.5,221,1482,6,366,583,17,59,4,1
7.2,207,1188,8,333,369,10,62,5,1
7.1,188,2771,5,275,520,12,66,4,1
8.7,151,2830,3,248,468,15,79,3,1
8.4,134,3366,4,333,397,14,55,3,1
6.3,222,1852,8,395,517,15,55,5,1
7.1,195,2841,7,318,494,15,47,4,1
9.3,163,3949,6,325,345,12,62,4,1
4.9,208,1599,5,349,404,11,84,3,1
6.1,147,3486,3,285,475,20,54,5,1
5.7,208,1945,6,333,362,15,82,3,1
6.6,201,1706,8,360,491,10,60,3,1
7.6,170,3626,6,301,404,12,79,4,1
7.9,182,3459,6,287,285,14,74,3,1
7.4,205,1321,7,333,537,16,79,4,1
7.1,176,2479,6,312,377,10,50,4,1
5.6,223,1328,7,368,375,20,104,4,1
4.3,227,732,7,326,412,12,68,2,1
7.3,185,2198,8,333,425,14,89,3,1
6.4,185,3336,5,374,509,17,103,4,1
7.1,181,2361,5,282,510,13,52,3,1
10.8,163,3803,7,350,477,13,66,3,1
5.0,190,2925,4,300,332,11,116,3,1
7.1,204,2459,7,333,440,12,118,4,1
10.4,167,3453,6,344,491,19,45,4,1
8.4,191,2931,5,306,546,13,96,3,1
7.8,200,1569,7,333,519,13,79,2,1
7.6,156,3283,3,257,277,17,62,3,1
11.2,169,4353,5,341,336,16,59,2,1
5.7,197,1293,5,280,445,14,68,4,1
10.5,185,2645,9,392,455,15,47,3,1
3.8,218,1692,6,333,410,14,60,4,1
5.7,184,1939,5,290,502,19,68,3,1
7.1,182,3043,6,350,479,16,58,4,1
5.5,218,1460,5,333,472,10,73,4,1
7.1,178,3786,3,333,535,17,64,5,1
6.8,181,2688,5,284,475,14,60,4,1
6.0,188,2485,4,295,355,7,79,4,1
7.1,212,2357,4,300,449,7,66,3,1
6.3,210,1168,6,311,375,11,62,4,1
9.2,165,1807,8,333,534,8,59,4,1
8.7,161,4079,5,305,499,15,75,3,1
8.0,224,1155,9,367,451,14,79,2,1
5.5,196,1937,5,295,348,18,76,4,1
7.2,177,3451,4,295,477,16,62,4,1
5.5,213,1829,6,333,317,13,49,2,1
7.1,195,1738,7,329,383,11,90,3,1
9.8,161,3024,5,258,413,12,76,3,1
3.6,238,1010,7,337,509,13,49,5,1
7.1,188,2056,7,360,656,16,84,4,1
6.6,201,2416,7,369,346,17,61,3,1
5.9,215,1308,7,334,283,14,55,5,1
9.5,122,5635,4,219,480,13,41,4,1
8.4,163,1958,6,334,547,18,45,5,1
7.7,227,1876,9,333,328,8,66,4,1
6.9,179,2756,5,227,391,14,83,4,1
5.8,212,1941,8,333,393,17,49,3,1
6.3,172,4068,4,302,485,18,64,3,1
6.6,251,551,11,333,339,11,76,4,1
7.3,158,2315,4,276,436,10,87,2,1
6.6,192,1459,6,314,343,17,53,2,1
6.0,196,1613,5,301,336,11,43,4,1
7.1,212,1410,9,388,337,8,74,3,1
5.9,222,1806,9,421,323,14,51,3,1
7.6,195,1744,5,333,517,14,85,4,1
6.9,192,2542,7,333,501,10,68,3,1
8.0,211,1403,9,389,491,14,35,4,1
8.8,199,1947,7,319,324,16,74,3,1
6.9,179,2561,7,318,298,11,94,4,1
8.7,181,1743,7,333,289,14,55,3,1
6.0,197,2254,5,338,410,11,59,3,1
4.4,256,874,9,333,432,16,66,4,1
7.1,134,3021,4,234,391,18,66,3,1
7.1,221,1011,8,356,508,14,40,3,1
8.2,155,3057,3,333,344,13,77,4,1
7.8,176,3333,5,286,290,5,75,5,1
7.9,186,1517,7,333,406,20,88,3,1
6.1,178,3060,5,260,472,16,46,3,1
7.1,226,1538,6,333,392,14,50,4,1
